,,,,2016-1,,,2016-2,,,2017-1,,,2017-2,,,2018-1,,,2018-2,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGLA,Nombre Curso,Bloques*,Tendencia,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,Vac. Ocupadas,Prof. PT,N° de Secciones,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1005,Computación: Ciencia y Tecnología del Mundo Digital,1,Ambos,49,0,1,35,0,1,77,0,1,36,1,1,100,0,1,90,0.5,1,387,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2714,Fundamentos de Procesamiento de Imágenes,6,Ambos,3,0,1,6,0,1,3,0,1,7,0,1,13,0,1,12,0,1,44,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2685,Robótica Móvil ,3,Impar,12,1,1,0,NP,0,13,1,1,0,NP,0,7,1,1,0,NP,0,32,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3242,Complejidad Computacional,4,Impar,11,1,1,0,NP,0,8,0,1,0,NP,0,7,0,1,0,NP,0,26,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3413,Implementación de Sistemas de Base de Datos,2,Impar,9,0,1,0,NP,0,12,0,1,0,NP,0,10,0,1,0,NP,0,31,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3423,Big Data,2,Impar,11,0,1,0,NP,0,0,0,0,0,0,0,29,0,1,0,NP,0,40,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3695,Tópicos Avanzados en Inteligencia de Máquina,2,Impar,14,0,1,0,NP,0,31,0,1,0,NP,0,6,0,1,0,NP,0,51,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3757,Minería de Procesos,2,Impar,16,0,1,0,NP,0,13,0,1,0,NP,0,22,0,1,0,NP,0,51,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3810,Tópicos Avanzados en Teoría de la Computación,1,Impar,13,0,1,0,NP,0,8,0,1,0,NP,0,5,0,1,0,NP,0,26,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2345,Laboratorio de Arquitectura de Computadores,1,NP 2S,5,1,1,0,NP,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3263,Teoría de Modelos Finitos,4,NP 2S,0,0,0,0,0,0,0,NP,0,9,0,1,0,0,0,0,0,0,9,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3432,Topicos Avanzados en Bases de Datos,2,NP 2S,0,0,0,0,0,0,0,NP,0,9,0,1,0,0,0,0,0,0,9,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3640,Modelos Gráficos Probabilísticos,2,NP 2S,0,0,0,0,0,0,13,0,1,0,NP,0,0,0,0,0,0,0,13,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3794,Recostrucción y Restauración de Imágenes,2,NP 2S,0,0,0,0,0,0,1,0,1,0,NP,0,0,0,0,0,0,0,1,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3714,Fundamentos de Procesamiento de Imágenes,1,NP periodo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
IIC3633,Sistemas Recomendadores,2,Par,0,NP,0,23,0,1,0,NP,0,22,0,1,0,NP,0,35,0,1,80,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Cantidad de Bloques académicos en que el curso se encuentra como optativo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
